 destination distance_m duration_s origin v_ave_kmph
224 EX17 337871.0 15291.0 MK41 79.54585050029429
225 WC1N 157172.0 6985.0 SN16 81.00489620615605
226 BL2 43128.0 2221.0 SK9 69.90580819450697
227 SG8 90500.0 3849.0 E6 84.64536243180048
228 PH9 779876.0 28754.0 GU34 97.64045350212143
229 EH19 615530.0 24759.0 RM8 89.49909123954923
230 HU12 627857.0 29122.0 BT65 77.6143534097933
231 G67 687746.0 25999.0 CO12 95.2300319243048
232 B78 224778.0 7990.0 KT20 101.2766958698373
233 GU47 176621.0 6835.0 B26 93.02642282370155
234 SW16 317105.0 13020.0 SA4 87.67880184331797
235 IV27 538269.0 26707.0 NE35 72.55657318306059
236 N18 461528.0 17217.0 NE13 96.50350235232621
237 ST14 102954.0 5183.0 WR2 71.50962762878642
238 DE5 426734.0 17786.0 SA64 86.37368716968399
239 NE40 444415.0 16978.0 IG10 94.23336081988457
240 YO7 465415.0 17671.0 BH8 94.81602625771038
241 SO20 164743.0 6585.0 BN45 90.06451025056948
242 B40 149133.0 6423.0 LL12 83.58692199906585
243 LL68 266421.0 11338.0 DE15 84.59301464103017
244 PE1 161312.0 6505.0 IP3 89.27335895465026
245 BN6 152139.0 6301.0 CT4 86.92277416283129
246 SA31 323943.0 13250.0 ST6 88.01470188679245
247 BB7 418368.0 15844.0 KT23 95.05963140621056
248 AB30 569081.0 21258.0 LL12 96.37273497036408
249 CT2 177938.0 8032.0 PO21 79.75308764940239
250 PL29 72357.0 4451.0 PL3 58.5228487980229
251 PH31 819576.0 30790.0 OX33 95.82570964598897
252 RH20 915540.0 40634.0 PA73 81.11295959049072
253 EH12 332617.0 16678.0 YO14 71.79645041371867
254 SE3 979909.0 38106.0 IV25 92.57524799244214
255 CA11 690432.0 35614.0 KW17 69.79152018868984
256 BT42 73310.0 4371.0 BT63 60.37886067261496
257 B26 107318.0 4444.0 MK1 86.93627362736272
258 ST19 290724.0 12180.0 SA33 85.92827586206896
259 HA3 842751.0 37628.0 PA74 80.62888274689061
260 LL39 788500.0 32201.0 IV19 88.1525418465265
261 TQ9 500368.0 18901.0 FY6 95.30314798158828
262 DY9 270478.0 10637.0 LL61 91.5409231926295
263 SA63 534560.0 21015.0 IP1 91.57344753747324
264 RH13 380924.0 15655.0 HD6 87.59670392845736
265 MK43 299829.0 12816.0 SA7 84.22162921348314
266 KW14 396306.0 20962.0 FK18 68.0613300257609
267 HA9 564844.0 23338.0 TD1 87.12993401319738
268 SY1 313587.0 13772.0 DL13 81.97162358408364
269 TS8 110100.0 5057.0 NE46 78.37848526794542
270 DE75 267608.0 11215.0 LL58 85.90181007579136
271 CW8 272489.0 11848.0 SN9 82.79544226873735
272 IG8 140584.0 6368.0 SO23 79.47587939698494
273 PH31 877390.0 34273.0 E8 92.1601260467423
274 WA1 157644.0 6330.0 CV12 89.65535545023697
275 IV7 595065.0 24173.0 HG5 88.62094071898399
276 ST12 415786.0 16178.0 EH4 92.52253677834095
277 LD1 327676.0 13788.0 KT17 85.55509138381201
278 SN4 610946.0 22637.0 G61 97.15976498652648
279 WS8 43821.0 2413.0 CV11 65.37737256527143
280 B92 320943.0 13631.0 SA62 84.76229183478836
281 FK18 725952.0 29018.0 SE18 90.06227858570541
282 EH31 724874.0 29369.0 BN11 88.8537709830093
283 PA78 876609.0 46446.0 CO8 67.94540757008139
284 BL6 317512.0 11367.0 G34 100.55803642121931
285 BA3 176861.0 8057.0 PL2 79.02440114186423
286 SK1 89474.0 4001.0 WF10 80.5064733816546
287 RG20 165730.0 6815.0 ME1 87.54629493763758
288 TN1 808592.0 34940.0 BT65 83.31228391528334
289 PH36 840010.0 35464.0 CF24 85.27058425445523
290 HD7 169437.0 7620.0 B73 80.04897637795277
291 PO34 155286.0 12202.0 E7 45.81458777249632
292 NW5 123036.0 5648.0 NN11 78.42237960339943
293 LL28 672471.0 25838.0 AB22 93.69516216425421
294 PA14 635227.0 24606.0 CM7 92.93738112655451
295 FK18 743227.0 27528.0 KT23 97.19620749782041
296 SE21 496712.0 19541.0 LL67 91.50827490916537
297 W1B 332246.0 15535.0 LD5 76.99295783714193
298 SE9 969170.0 40379.0 IV43 86.40659748879368
299 OX12 113429.0 4740.0 WR5 86.14860759493669
300 DN3 274432.0 10443.0 IG6 94.60453892559609
301 SA38 370082.0 15059.0 KT23 88.47169134736704
302 KY15 378956.0 14990.0 FY5 91.01011340893929
303 EX39 488113.0 19551.0 IP28 89.87810342181986
304 SY2 93919.0 5017.0 WA8 67.3925453458242
305 OL4 179011.0 7502.0 DL11 85.90237270061317
306 B34 143472.0 6133.0 GL8 84.21640306538399
307 B73 737902.0 28319.0 IV10 93.80441399766941
308 KA12 728788.0 25775.0 KT17 101.7899825412221
309 PE13 147997.0 6957.0 IG5 76.58318240620956
310 LE4 130580.0 6592.0 SK22 71.31189320388349
311 DG10 367187.0 14697.0 HU19 89.94170238824249
312 WF3 117538.0 4849.0 CW9 87.26269333883275
313 TD12 695021.0 27443.0 EX32 91.1735451663448
314 TQ6 532682.0 20043.0 HU13 95.67705433318363
315 CT6 413907.0 15853.0 LS28 93.99263230934208
316 BH12 187488.0 7860.0 NW7 85.87236641221375
317 TN2 320411.0 12819.0 CF41 89.98202667914812
318 HX1 340311.0 13555.0 CM13 90.38137956473626
319 SN6 78144.0 3919.0 OX49 71.78321000255168
320 EC3R 186796.0 8501.0 NR3 79.10429361251617
321 UB4 36818.0 2013.0 GU18 65.84441132637852
322 B1 49606.0 2875.0 WS15 62.11533913043479
323 EX17 350722.0 15234.0 DA3 82.88034659314692
324 PR8 139701.0 7183.0 LA14 70.01581511903105
325 PH17 467688.0 21245.0 BD17 79.25049658743235
326 BN42 830124.0 35904.0 BT69 83.23435828877004
327 NP15 175518.0 7012.0 RG41 90.1119224187108
328 NG25 219377.0 9312.0 WC1N 84.81069587628869
329 NE17 400849.0 24468.0 BT55 58.97729279058363
330 BH11 87309.0 4642.0 TA12 67.71055579491599
331 TS6 196238.0 9253.0 LA20 76.34894628769048
332 SY5 269763.0 10613.0 WC1H 91.5053990389145
333 IV56 336796.0 18603.0 AB31 65.17581035316884
334 LA6 297992.0 10955.0 KA9 97.92525787311727
335 L3 801071.0 32452.0 KW14 88.86526562307408
336 TN6 66626.0 3889.0 DA18 61.67487786063254
337 DN8 356809.0 15122.0 EH20 84.94328792487767
338 HU1 614290.0 25696.0 PH34 86.061799501868
339 RM8 265874.0 11606.0 ST10 82.46996381182147
340 GU22 404662.0 17034.0 TR14 85.52208524128214
341 WR6 162032.0 7410.0 CF33 78.72
342 BD11 600396.0 22456.0 AB10 96.25158532240826
343 BA2 280897.0 12235.0 CB10 82.65052717613403
344 EH1 413148.0 16672.0 ST9 89.21142034548944
345 GU33 287592.0 11089.0 ST14 93.36560555505457
346 DL5 161066.0 7032.0 LA17 82.45699658703072
347 AB33 878449.0 35003.0 RM15 90.34701025626377
348 OL10 389401.0 15175.0 DA3 92.37849093904448
349 EH33 264467.0 12863.0 LA19 74.01704112570941
350 OX49 168192.0 6406.0 WS15 94.51938807368091
351 NG7 192223.0 7987.0 HA1 86.64114185551522
352 PA67 256702.0 18743.0 IV10 49.30519127140799
353 HP7 46523.0 2545.0 RG40 65.80856581532416
354 EN7 693496.0 24955.0 PH4 100.0435023041475
355 KA22 655225.0 23851.0 BS21 98.8977401366819
356 B91 198880.0 9025.0 DA15 79.33163434903047
357 IP8 416389.0 16191.0 TS12 92.58232351306282
358 NE23 471029.0 17934.0 RM10 94.5524924723988
359 DN10 281395.0 11499.0 NE67 88.09653013305504
360 OL11 313302.0 15549.0 SA33 72.5376037044183
